﻿"person_id","university_name","specialty","degree","start_year","end_year"
"p01","Kasdi Merbah University","Computer Science","Master","2005","2010"
"p02","Kasdi Merbah University","Computer Science","Ingénieur","2003","2008"
"p03","University of Edinburgh","Computer Science","BSc","2000","2004"
"p04","Université de Ouargla","Computer Science","Licence","2010","2013"
"p05","Kasdi Merbah University","Petroleum Engineering","Ingénieur","1998","2003"
"p06","Kasdi Merbah University","Mechanical Engineering","Ingénieur","2000","2005"
"p07","Kasdi Merbah University","Electrical Engineering","Ingénieur","2001","2006"
"p08","Kasdi Merbah University","Computer Science","Licence","2012","2015"
"p09","Kasdi Merbah University","Finance","Master","2008","2013"
"p10","Kasdi Merbah University","Instrumentation","Ingénieur","2002","2007"
"p11","Kasdi Merbah University","Petroleum Engineering","Ingénieur","2000","2005"
"p12","Kasdi Merbah University","Human Resources","Master","2005","2010"
"p13","Kasdi Merbah University","Electrical Engineering","Ingénieur","2001","2006"
"p14","Kasdi Merbah University","Oil & Gas","Ingénieur","1999","2004"
"p15","Kasdi Merbah University","Economics","Master","2003","2008"
"p16","Université de Ouargla","Civil Engineering","Ingénieur","2008","2013"
"p17","Université de Ouargla","Administration","Licence","2010","2013"
"p18","Université de Ouargla","Mechanical Engineering","Ingénieur","2009","2014"
"p19","Université de Ouargla","Oil & Gas","Licence","2012","2015"
"p20","Kasdi Merbah University","Computer Science","Master","2010","2015"
"p21","Kasdi Merbah University","Networks","Licence","2011","2014"
"p22","Université Constantine 2","Cybersecurity","Master","2012","2017"
"p23","Université de Sétif 1","Cloud Computing","Ingénieur","2010","2015"
"p24","Kasdi Merbah University","DevOps","Master","2014","2019"
"p25","Kasdi Merbah University","Automation","Ingénieur","2009","2014"
"p26","Kasdi Merbah University","Electrical Engineering","Master","2009","2014"
"p27","Kasdi Merbah University","Engineering","Ingénieur","2005","2010"
"p28","Kasdi Merbah University","Database Administration","Master","2010","2015"
"p29","Kasdi Merbah University","Project Management","Master","2008","2013"
"p30","Kasdi Merbah University","Artificial Intelligence","Master","2015","2020"
"p31","Kasdi Merbah University","Software Engineering","Ingénieur","2012","2017"
"p32","Kasdi Merbah University","Data Science","Master","2013","2018"
"p33","Kasdi Merbah University","Geophysics","Ingénieur","2008","2013"
"p34","Kasdi Merbah University","Data Science","Master","2014","2019"
"p35","Kasdi Merbah University","IT Support","Licence","2010","2013"
"p36","Kasdi Merbah University","ERP Systems","Ingénieur","2011","2016"
"p37","Kasdi Merbah University","Database Development","Master","2008","2013"
"p38","Université de Ouargla","Mechanical Engineering","Ingénieur","1997","2002"
"p39","Kasdi Merbah University","Computer Science","Master","2019","2020"
"p40","ESI Alger","Software Engineering","Ingénieur","2015","2020"
"p41","USTHB","Computer Science","Ingénieur","2014","2019"
"p42","USTHB","Mobile Development","Master","2013","2018"
"p43","École des Beaux Arts","UX Design","Master","2012","2017"
"p44","USTHB","Cloud Computing","Ingénieur","2011","2016"
"p45","USTHB","Cloud Architecture","Master","2010","2015"
"p46","Université de Tizi Ouzou","Data Analysis","Master","2014","2019"
"p47","USTHB","Networking","Ingénieur","2012","2017"
"p48","USTHB","IT Consulting","Master","2011","2016"
"p49","USTHB","Backend Development","Ingénieur","2013","2018"
"p50","USTHB","Quality Assurance","Master","2014","2019"
