﻿"person_id","company_name","role","start_date","end_date","description"
"p01","Groupement Berkine","Chef Département Informatique","2015-01-01",,"Leading IT department, managing infrastructure and digital projects"
"p02","Groupement Berkine","Head of IT Services","2012-01-01",,"Managing IT services and support across all sites"
"p03","Groupement Berkine","IT Manager Infrastructure","2018-06-01",,"Windows 10/11 migration, Sophos cybersecurity"
"p04","Groupement Berkine","IT System Administrator","2016-01-01",,"System administration and network management"
"p05","Groupement Berkine","Technical Development Director","2010-01-01",,"Overall technical direction and development"
"p06","Groupement Berkine","Department Head","2014-01-01",,"Department management"
"p07","Groupement Berkine","Head of Department","2013-01-01",,"Department management"
"p08","Groupement Berkine","Engineer","2016-01-01",,"Engineering operations"
"p09","Groupement Berkine","Project Cost Controller","2014-01-01",,"Cost control and project budgeting"
"p10","Groupement Berkine","Chef Service Instrumentation","2012-01-01",,"Instrumentation service management"
"p11","Groupement Berkine","Well Technical Service Head","2011-01-01",,"Well technical services oversight"
"p12","Groupement Berkine","Head of Human Resources","2013-01-01",,"HR management and recruitment"
"p13","Groupement Berkine","Department Head Technical","2015-01-01",,"Technical department management"
"p14","Groupement Berkine","Operation Department Head","2010-01-01",,"Operations department oversight"
"p15","Groupement Berkine","Directeur Planification","2012-01-01",,"Planning and cost control"
"p16","Groupement Berkine","Civil Supervisor","2017-01-01",,"Civil works supervision"
"p17","Groupement Berkine","Assistante Administrative","2015-01-01",,"Administrative support"
"p18","Groupement Berkine","Mechanical Engineer","2016-01-01",,"Mechanical engineering and maintenance"
"p19","Groupement Berkine","Technicien Exploitation","2018-01-01",,"Operations technician"
"p20","Groupement Berkine","IT System Engineer","2017-01-01",,"System engineering and maintenance"
"p21","Groupement Berkine","Network Administrator","2016-01-01",,"Network infrastructure management"
"p22","Groupement Berkine","Cybersecurity Analyst","2019-01-01",,"Security monitoring and incident response"
"p23","Groupement Berkine","Cloud Architect","2020-01-01",,"Cloud infrastructure design"
"p24","Groupement Berkine","DevOps Engineer","2019-01-01",,"CI/CD pipelines and automation"
"p25","Groupement Berkine","SCADA Engineer","2015-01-01",,"SCADA systems management"
"p26","Sonatrach","Ingénieur Électricité","2014-02-01",,"Electrical engineering"
"p27","Sonatrach","Engineer","2012-01-01",,"Engineering operations"
"p28","Sonatrach","Database Administrator","2016-01-01",,"Database management"
"p29","Sonatrach","IT Project Manager","2017-01-01",,"IT project management"
"p30","Sonatrach","AI/ML Engineer","2021-01-01",,"AI and machine learning projects"
"p31","ENAGEO","Software Developer","2018-01-01",,"Software development"
"p32","ENAGEO","Data Analyst","2019-01-01",,"Data analysis and reporting"
"p33","ENAGEO","GIS Specialist","2017-01-01",,"Geographic Information Systems"
"p34","ENAGEO","Data Scientist","2020-01-01",,"Data science and modeling"
"p35","ENAFOR","IT Support Engineer","2016-01-01",,"IT support and helpdesk"
"p36","ENAFOR","ERP Administrator","2017-01-01",,"ERP system administration"
"p37","ENAFOR","Senior Oracle Developer","2014-01-01",,"Oracle database development"
"p38","ENAFOR","Chef Groupe Ingénieurs","2014-02-01",,"Engineering team management"
"p39","SHFCP","IT Head of Service","2013-08-01",,"IT service management, Oracle DBA"
"p40","Startup Algiers","Software Engineer","2020-01-01",,"Full stack development"
"p41","Djezzy","Full Stack Developer","2019-01-01",,"Web application development"
"p42","Ooredoo Algeria","Mobile App Developer","2018-01-01",,"iOS and Android development"
"p43","Cevital","UI/UX Designer","2019-01-01",,"User interface design"
"p44","BP Algeria","DevOps Engineer","2018-01-01",,"CI/CD and infrastructure"
"p45","Orange Algeria","Cloud Solutions Architect","2017-01-01",,"Cloud architecture design"
"p46","CNRPAH","Data Analyst","2020-01-01",,"Health data analysis"
"p47","Algérie Télécom","Network Engineer","2018-01-01",,"Network infrastructure"
"p48","Capgemini Algeria","IT Consultant","2017-01-01",,"IT consulting and strategy"
"p49","Khelladj Computer","Backend Developer","2019-01-01",,"Backend API development"
"p50","Djezzy","QA Engineer","2020-01-01",,"Quality assurance and testing"
